"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3370550,"December 7, 2025",California,"San Jose","2200 block of Lincoln Ave",1,3,0,0,0,N/A
3370548,"December 7, 2025",Georgia,Palmetto,"9135 Roosevelt Hwy",1,0,0,0,0,N/A
3370535,"December 7, 2025",Nevada,"North Las Vegas","500 block of W Coastal Dreams Ave",2,1,0,0,0,N/A
3370502,"December 7, 2025","North Carolina","Winston Salem (Winston-salem)","20 E Acadia Ave",0,1,0,0,0,N/A
3370496,"December 7, 2025",Colorado,"Colorado Springs","1900 block of S Chelton Rd",0,1,0,0,0,N/A
3370494,"December 7, 2025","North Carolina",Charlotte,N/A,0,1,0,0,0,N/A
3370448,"December 7, 2025",Arizona,Phoenix,"N 7th Ave and W Beardsley Rd",0,0,0,1,0,N/A
3370431,"December 7, 2025",Maryland,Baltimore,"3000 block of Rosalie Ave",1,0,0,0,0,N/A
3370429,"December 7, 2025",Maryland,Baltimore,"2200 block of E North Ave",0,1,0,0,0,N/A
3370421,"December 7, 2025","North Carolina",Laurinburg,"107 Marcellus St",0,1,0,0,1,N/A
3370394,"December 7, 2025",Wisconsin,Superior,"N 37th St and Tower Ave",0,1,0,0,1,N/A
3370390,"December 7, 2025",Virginia,Richmond,"3500 block of Stockton St",0,3,0,0,0,N/A
3370384,"December 7, 2025",Michigan,Detroit,"Cadieux Rd and Meuse St",0,1,0,0,0,N/A
3370365,"December 7, 2025",Illinois,Rockford,"300 block of Buckbee St",1,0,0,0,0,N/A
3370343,"December 7, 2025",Illinois,Chicago,"5700 block of S Albany Ave",0,1,0,0,0,N/A
3370305,"December 7, 2025",Illinois,Chicago,"11400 block of S Davol St",0,2,0,1,0,N/A
3370312,"December 7, 2025",Illinois,Chicago,"4800 block of W Gladys Ave",0,2,0,0,0,N/A
3370267,"December 6, 2025",Ohio,Columbus,"2600 block of Osceola Ave",1,0,0,0,0,N/A
3370182,"December 6, 2025",Ohio,Cincinnati,"2400 block of Westwood Northern Blvd",1,0,0,0,1,N/A
3370247,"December 6, 2025",Ohio,Cincinnati,"7455 Este Ave",0,1,0,0,0,N/A
3370245,"December 6, 2025","New York",Brooklyn,"2957 Ave X",0,1,0,0,0,N/A
3370243,"December 6, 2025","New York",Brooklyn,"429 Dumont Ave",0,1,0,0,0,N/A
3370233,"December 6, 2025","West Virginia","Morgantown (Cheat Lake)","Ed Dunn Rd",0,1,0,1,0,N/A
3370226,"December 6, 2025",Tennessee,Knoxville,"1900 block of McCalla Ave",1,0,0,0,0,N/A
3370186,"December 6, 2025",Virginia,Norfolk,"600 block of Walker Ave",0,2,0,0,0,N/A
3370199,"December 6, 2025",Virginia,Richmond,"2121 Dickens Rd",1,1,0,0,0,N/A
3370162,"December 6, 2025",Georgia,Atlanta,"2576 Martin Luther King Jr Dr SW",0,1,0,0,0,N/A
